"am_data","am_precipitacao","am_temp_maxima","am_umidade","am_ocorreu_queimada","am_risco_fogo_inpe"
2001-03-08,5.4,33.3,79.5,false,NULL
2001-03-09,0,32.2,83.25,false,NULL
2001-03-10,3.6,31.3,86.75,false,NULL
2001-03-11,2.8,27.8,91.5,false,NULL
2001-03-12,7.4,28.7,87.25,false,NULL
2001-03-13,3.3,27.7,89.75,false,NULL
2001-03-14,2.7,31.9,82.5,false,NULL
2001-03-15,1.6,32.6,90.25,false,NULL
2001-03-16,0,31.8,81.25,false,NULL
2001-03-17,24.5,33.1,78.5,false,NULL
2001-03-18,14.6,34,74.5,false,NULL
2001-03-19,0,34.4,78.75,false,NULL
2001-03-20,0,34.6,79.75,false,NULL
2001-03-21,0,32,85,false,NULL
2001-03-22,4.2,33.7,79.75,false,NULL
2001-03-23,1.1,33.5,77.5,false,NULL
2001-03-24,0.6,32.6,82,false,NULL
2001-03-25,0.7,32.9,91.25,false,NULL
2001-03-26,0.8,32.4,85,false,NULL
2001-03-27,33.1,33.6,85.75,false,NULL
2001-03-28,0,32.4,80,false,NULL
2001-03-29,14,33.2,77.75,false,NULL
2001-03-30,6.2,32.7,80.75,false,NULL
2001-03-31,12.5,33.2,78.75,false,NULL
2001-04-01,0,29.9,91.5,false,NULL
2001-04-02,33.7,33,83.75,false,NULL
2001-04-03,36.3,32,86.75,false,NULL
2001-04-04,37,31.2,84.25,false,NULL
2001-04-05,0.2,33,83.5,false,NULL
2001-04-06,3.4,33.6,79.75,false,NULL
2001-04-07,0.3,34.1,72,false,NULL
2001-04-08,0,32.8,73.25,false,NULL
2001-04-09,0,32.6,78.5,false,NULL
2001-04-10,0,30.5,85.5,false,NULL
2001-04-11,0,34.1,76.25,false,NULL
2001-04-12,4.3,33.1,81.5,false,NULL
2001-04-13,10.2,32.1,85.75,false,NULL
2001-04-14,0,34.1,74,false,NULL
2001-04-15,0.8,32.7,86,false,NULL
2001-04-16,0.7,31.3,85.75,false,NULL
2001-04-17,14.1,32.6,84.25,false,NULL
2001-04-18,0.7,31.6,84.5,false,NULL
2001-04-19,39,26.4,91.25,false,NULL
2001-04-20,61,32.3,85.5,false,NULL
2001-04-21,15.5,32,81.25,false,NULL
2001-04-22,56.4,33.5,76.25,false,NULL
2001-04-23,0,34.3,70.75,false,NULL
2001-04-24,0,34.4,72,false,NULL
2001-04-25,0,35.1,70.5,false,NULL
2001-04-26,0,35.1,72,false,NULL
2001-04-27,0.3,31,81.75,false,NULL
2001-04-28,2.9,33.7,74,false,NULL
2001-04-29,1.3,34.2,80,false,NULL
2001-04-30,0,33.7,72.5,false,NULL
2001-05-01,0.2,34.1,74,false,NULL
2001-05-02,0,35.1,74.75,false,NULL
2001-05-03,0,34.3,73,false,NULL
2001-05-04,0,34,77.75,false,NULL
2001-05-05,0.3,32.9,75,false,NULL
2001-05-06,0,35.5,74.25,false,NULL
2001-05-07,0.3,34.5,74.5,false,NULL
2001-05-08,0,34.6,74,false,NULL
2001-05-09,0,33.3,79.75,false,NULL
2001-05-10,0,32.5,84,false,NULL
2001-05-11,6.6,34.1,77,false,NULL
2001-05-12,13.9,33.6,71.5,false,NULL
2001-05-13,0,35.1,72,false,NULL
2001-05-14,0,33.6,73.75,false,NULL
2001-05-15,0,32.4,75.25,false,NULL
2001-05-16,0,33.8,71,false,NULL
2001-05-17,0,34,71.75,false,NULL
2001-05-18,0,34.1,72.25,false,NULL
2001-05-19,0,34.3,79.25,false,NULL
2001-05-20,0,29.3,93,false,NULL
2001-05-21,35,32.5,85.75,false,NULL
2001-05-22,19.2,34.2,76.5,false,NULL
2001-05-23,5.6,32.9,76.75,false,NULL
2001-05-24,0,33.4,73.5,false,NULL
2001-05-25,0,33.5,77.5,false,NULL
2001-05-26,0,33.1,75.5,false,NULL
2001-05-27,0,33.1,74.75,false,NULL
2001-05-28,0,34,74.75,false,NULL
2001-05-29,0,33.8,73.25,false,NULL
2001-05-30,0,33.6,77,false,NULL
2001-05-31,0,32.5,75.25,false,NULL
2001-06-01,0,33.1,71,false,NULL
2001-06-02,0,33.4,72.5,false,NULL
2001-06-03,0,32.2,82.25,false,NULL
2001-06-04,0,33.5,74.25,false,NULL
2001-06-05,0,33.7,71,false,NULL
